IP1-MD4.O.12	5551549.999	7424119.555	214.027
IP1-MD4.O.11	5551557.351	7424120.294	214.068
IP1-MD4.O.10	5551563.195	7424120.921	214.082
IP1-MD4.H.09	5551564.140	7424123.547	213.977
IP1-MD4.H.08	5551560.019	7424123.071	213.985
IP1-MD4.H.07	5551555.661	7424122.609	213.980
IP1-MD4.H.06	5551551.574	7424122.170	213.991
IP1-MD4.H.05	5551550.440	7424119.856	213.987
IP1-MD4.H.04	5551554.541	7424120.323	213.991
IP1-MD4.H.03	5551558.915	7424120.656	213.986
IP1-MD4.H.02	5551563.290	7424121.323	213.982
IP1-MD4.H.01	5551562.810	7424121.847	213.078
IP2-MD4.O.20	5551589.738	7424145.654	215.246
IP2-MD4.O.19	5551586.856	7424140.105	214.943
IP2-MD4.O.18	5551578.927	7424144.757	214.724
IP2-MD4.O.17	5551589.362	7424146.032	215.062
IP2-MD4.H.16	5551587.590	7424143.552	214.760
IP2-MD4.H.15	5551583.982	7424143.220	214.742
IP2-MD4.H.14	5551578.996	7424142.542	214.749
IP2-MD4.H.13	5551574.587	7424142.148	214.747
IP2-MD4.H.12	5551575.014	7424144.215	214.736
IP2-MD4.H.11	5551579.806	7424144.664	214.734
IP2-MD4.H.10	5551583.962	7424145.252	214.733
IP2-MD4.H.09	5551589.383	7424145.869	214.737
IP2-MD4.H.08	5551573.917	7424140.048	214.758
IP2-MD4.H.07	5551578.116	7424141.312	214.762
IP2-MD4.H.06	5551583.839	7424141.943	214.744
IP2-MD4.H.05	5551587.509	7424142.276	214.771
IP2-MD4.H.04	5551586.646	7424140.368	214.759
IP2-MD4.H.03	5551582.117	7424139.628	214.753
IP2-MD4.H.02	5551577.329	7424139.015	214.751
IP2-MD4.H.01	5551572.612	7424138.499	214.744
