214.027	5551549.999	7424119.555	214.027
214.068	5551557.351	7424120.294	214.068
214.082	5551563.195	7424120.921	214.082
213.977	5551564.140	7424123.547	213.977
213.985	5551560.019	7424123.071	213.985
213.980	5551555.661	7424122.609	213.980
213.991	5551551.574	7424122.170	213.991
213.987	5551550.440	7424119.856	213.987
213.991	5551554.541	7424120.323	213.991
213.986	5551558.915	7424120.656	213.986
213.982	5551563.290	7424121.323	213.982
213.078	5551562.810	7424121.847	213.078
215.246	5551589.738	7424145.654	215.246
214.943	5551586.856	7424140.105	214.943
214.724	5551578.927	7424144.757	214.724
215.062	5551589.362	7424146.032	215.062
214.760	5551587.590	7424143.552	214.760
214.742	5551583.982	7424143.220	214.742
214.749	5551578.996	7424142.542	214.749
214.747	5551574.587	7424142.148	214.747
214.736	5551575.014	7424144.215	214.736
214.734	5551579.806	7424144.664	214.734
214.733	5551583.962	7424145.252	214.733
214.737	5551589.383	7424145.869	214.737
214.758	5551573.917	7424140.048	214.758
214.762	5551578.116	7424141.312	214.762
214.744	5551583.839	7424141.943	214.744
214.771	5551587.509	7424142.276	214.771
214.759	5551586.646	7424140.368	214.759
214.753	5551582.117	7424139.628	214.753
214.751	5551577.329	7424139.015	214.751
214.744	5551572.612	7424138.499	214.744
