5552092.061	7425379.784	234.125
5552091.363	7425379.758	234.150
5552091.738	7425383.005	234.182
5552091.632	7425379.694	233.194
5552092.065	7425379.676	233.338
5552075.400	7425372.930	234.300
5552077.670	7425364.778	234.309
5552077.373	7425364.685	234.757
5552076.323	7425368.805	234.742
5552075.269	7425372.265	234.750
5552070.668	7425371.048	235.016
5552071.632	7425367.185	235.014
5552072.943	7425363.373	234.981
5552068.337	7425362.112	235.228
5552067.456	7425366.143	235.236
5552066.479	7425369.850	235.239
5552062.043	7425368.700	235.475
5552062.779	7425364.616	235.459
5552063.983	7425360.905	235.455
5552060.048	7425359.883	235.679
5552058.575	7425363.757	235.647
5552057.563	7425367.271	235.679
5551993.219	7425324.630	237.470
5551992.754	7425324.574	237.470
5551992.930	7425329.207	237.317
5551993.054	7425329.487	237.263
5551993.292	7425329.634	237.175
5551992.413	7425329.682	237.312
5551992.557	7425329.948	237.269
5551992.812	7425330.111	237.188
5551994.355	7425330.188	236.748
5551994.812	7425329.750	236.730
